I, [2024-11-09T16:39:03.835247 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Диск-фреза універсальний по дереву 125 мм YATO YT-59167, price: 800 ₴, description: , category: 24ka, image_path: media_dir/24ka/7a2b62e1-63ac-415c-a62f-070f3fea9611.jpg
I, [2024-11-09T16:39:03.835279 #28780]  INFO -- : Processed file: Parsed product: Диск-фреза універсальний по дереву 125 мм YATO YT-59167, Price: 800 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/7a2b62e1-63ac-415c-a62f-070f3fea9611.jpg
I, [2024-11-09T16:39:03.906091 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/48ba6ffc-5cfc-451a-9869-b00f641aefa9.jpg
I, [2024-11-09T16:39:03.906156 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Штатив для болгарки 230мм з чавунною основою Yato YT-82976, price: 1 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/48ba6ffc-5cfc-451a-9869-b00f641aefa9.jpg
I, [2024-11-09T16:39:03.906183 #28780]  INFO -- : Processed file: Parsed product: Штатив для болгарки 230мм з чавунною основою Yato YT-82976, Price: 1 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/48ba6ffc-5cfc-451a-9869-b00f641aefa9.jpg
I, [2024-11-09T16:39:03.919743 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233191407_w358_h473_akumulyatorna-bolgarka-yato.jpg
I, [2024-11-09T16:39:03.942900 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233277666_w1081_h473_nizkooborotna-bolgarka-125mm.jpg
I, [2024-11-09T16:39:03.944196 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/5fa7386c-6fa4-4e32-b25f-57c930c4a531.jpg
I, [2024-11-09T16:39:03.944251 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Акумуляторна болгарка YATO YT-82826, price: 3 250 ₴, description: , category: 24ka, image_path: media_dir/24ka/5fa7386c-6fa4-4e32-b25f-57c930c4a531.jpg
I, [2024-11-09T16:39:03.944290 #28780]  INFO -- : Processed file: Parsed product: Акумуляторна болгарка YATO YT-82826, Price: 3 250 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/5fa7386c-6fa4-4e32-b25f-57c930c4a531.jpg
I, [2024-11-09T16:39:03.973290 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233217310_w358_h473_shtroboriz-1700-vt.jpg
I, [2024-11-09T16:39:03.986695 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233238792_w358_h473_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:03.990791 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/57b8702c-ab4b-435d-9aa7-98ed8e331245.jpg
I, [2024-11-09T16:39:03.990861 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Низькооборотна болгарка 125мм 900 Вт (1300-4000 об/хв) YATO YT-82096, price: 3 250 ₴, description: , category: 24ka, image_path: media_dir/24ka/57b8702c-ab4b-435d-9aa7-98ed8e331245.jpg
I, [2024-11-09T16:39:03.990896 #28780]  INFO -- : Processed file: Parsed product: Низькооборотна болгарка 125мм 900 Вт (1300-4000 об/хв) YATO YT-82096, Price: 3 250 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/57b8702c-ab4b-435d-9aa7-98ed8e331245.jpg
I, [2024-11-09T16:39:04.000706 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/2d8e48e1-8f51-4b40-be79-1c2bb8fbaf42.jpg
I, [2024-11-09T16:39:04.000771 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Штроборіз 1700 Вт 125 мм YATO YT-82015, price: 4 750 ₴, description: , category: 24ka, image_path: media_dir/24ka/2d8e48e1-8f51-4b40-be79-1c2bb8fbaf42.jpg
I, [2024-11-09T16:39:04.000797 #28780]  INFO -- : Processed file: Parsed product: Штроборіз 1700 Вт 125 мм YATO YT-82015, Price: 4 750 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/2d8e48e1-8f51-4b40-be79-1c2bb8fbaf42.jpg
I, [2024-11-09T16:39:04.003941 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/e80caf14-da50-4fda-ab6d-a5f7643aff53.jpg
I, [2024-11-09T16:39:04.004016 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 850 Вт 125 мм YATO YT-82097, price: 1 500 ₴, description: , category: 24ka, image_path: media_dir/24ka/e80caf14-da50-4fda-ab6d-a5f7643aff53.jpg
I, [2024-11-09T16:39:04.004045 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 850 Вт 125 мм YATO YT-82097, Price: 1 500 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/e80caf14-da50-4fda-ab6d-a5f7643aff53.jpg
I, [2024-11-09T16:39:04.030439 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233188647_w358_h473_shlifmashina-kutova-230mm.jpg
I, [2024-11-09T16:39:04.044992 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233188624_w358_h473_shlifmashina-kutova-125mm.jpg
I, [2024-11-09T16:39:04.046440 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/eaa5808f-fdf5-4dbd-b4f7-c71cf632215c.jpg
I, [2024-11-09T16:39:04.046498 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Шліфмашина кутова 230мм YATO YT-82110, price: 3 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/eaa5808f-fdf5-4dbd-b4f7-c71cf632215c.jpg
I, [2024-11-09T16:39:04.046525 #28780]  INFO -- : Processed file: Parsed product: Шліфмашина кутова 230мм YATO YT-82110, Price: 3 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/eaa5808f-fdf5-4dbd-b4f7-c71cf632215c.jpg
I, [2024-11-09T16:39:04.058418 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233268326_w269_h230_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:04.069819 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233189962_w358_h473_pnevmatichna-bolgarka-yato.jpg
I, [2024-11-09T16:39:04.071024 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/8f36952d-9669-44be-bbcc-febe0b433c9b.jpg
I, [2024-11-09T16:39:04.071083 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Шліфмашина кутова 125мм 1100Вт YATO YT-82100, price: 1 650 ₴, description: , category: 24ka, image_path: media_dir/24ka/8f36952d-9669-44be-bbcc-febe0b433c9b.jpg
I, [2024-11-09T16:39:04.071110 #28780]  INFO -- : Processed file: Parsed product: Шліфмашина кутова 125мм 1100Вт YATO YT-82100, Price: 1 650 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/8f36952d-9669-44be-bbcc-febe0b433c9b.jpg
